Timestamp,Gender,Date_Of_Birth,Age,Age_Group,Aptitude,Parents_Education_Encoded,Family_Lifestyle_Encoded,Math,English,Bio,Chemistry,Physics,ICT,Business,Average_Score,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Personality_Trait,Address,Study_Country,Chosen_University,Influence,Building miniatures / models,DIY projects,Debate / Public Speaking,Hackathons / App development projects,Programming / coding clubs,Science clubs,Student Council / Leadership Roles,"Volunteering at hospitals, clinics, or NGOs",DIY / Project recognition,Debate / Public Speaking awards,Hackathon / App competition prize,Model building recognition,Other (please specify),Programming / Coding award,Science fair / Olympiad prize,Student Council / Leadership role,Volunteering recognition
2025/10/01 12:43:26 PM GMT+6:30,Female,2009-11-10,16.0,15-to-20,9–10 → Exceptional aptitude,1,1.0,99.0,80.0,87.0,92.0,78.0,67.0,97.0,85.71428571428571,yes,Group study,3–4 hours,Intermediate,7.5,Science,2,ESFP,Magway,Canada,University of Toronto ,Internal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025/10/01 12:44:46 PM GMT+6:30,Female,2000-09-30,25.0,20-to-30,4–6 → Medium aptitude,0,2.0,52.0,80.0,80.0,52.0,65.0,68.0,97.0,70.57142857142857,yes,Self-study,1–2 hours,Intermediate,0.0,English,0,ESFP,Mandalay,UK,cambridge,Internal,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025/10/01 12:44:52 PM GMT+6:30,Female,2007-10-26,18.0,15-to-20,4–6 → Medium aptitude,0,2.0,52.0,56.0,80.0,86.0,45.0,63.0,92.0,67.71428571428571,yes,Self-study,Less than 1 hour,Intermediate,0.0,Business,0,ESTP,mandalay,UK,Cambridge,Internal,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025/10/01 12:45:31 PM GMT+6:30,Male,2000-12-05,25.0,20-to-30,4–6 → Medium aptitude,1,1.0,60.0,70.0,60.0,60.0,70.0,0.0,0.0,64.0,no,Tuition / Extra Classes,1–2 hours,Intermediate,0.0,English,1,ESTJ,Mandalay,UK,University of Greenwich,Internal,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2025/10/01 12:45:57 PM GMT+6:30,Female,2006-07-13,19.0,15-to-20,7–8 → High aptitude,0,1.0,97.0,78.0,88.0,67.0,88.0,78.0,83.0,82.71428571428571,no,Group study,3–4 hours,Advanced,0.0,Chemistry,2,ISFJ,Mandalay,UK,UCL,Internal,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2025/10/01 12:46:02 PM GMT+6:30,Female,2008-07-14,17.0,15-to-20,7–8 → High aptitude,1,1.0,97.0,95.0,0.0,0.0,0.0,0.0,0.0,96.0,yes,Self-study,2–3 hours,Intermediate,0.0,English,0,INTJ,Mandalay,UK,,Internal,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2025/10/01 12:47:21 PM GMT+6:30,Male,2002-09-29,23.0,20-to-30,9–10 → Exceptional aptitude,1,2.0,99.0,80.0,70.0,66.0,90.0,90.0,80.0,82.14285714285714,no,Self-study,3–4 hours,Advanced,9.0,Science,2,INTP,Singapore,Singapore,National University of Singapore ,Internal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2025/10/01 12:49:07 PM GMT+6:30,Male,2008-05-16,17.0,15-to-20,4–6 → Medium aptitude,1,2.0,81.0,78.0,67.0,64.0,83.0,0.0,0.0,74.6,yes,Self-study,1–2 hours,Intermediate,0.0,Math,3,INTJ,Mandalay ,UK;Thailand,,Internal,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 1:46:48 PM GMT+6:30,Female,2025-07-16,17.0,15-to-20,7–8 → High aptitude,1,2.0,79.0,78.0,0.0,0.0,0.0,80.0,80.0,79.25,yes,Self-study,1–2 hours,Intermediate,0.0,Business,0,INFP,gpis,UK,,Internal,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025/10/01 1:50:24 PM GMT+6:30,Male,2010-12-25,15.0,10-to-15,9–10 → Exceptional aptitude,1,1.0,84.0,73.0,0.0,0.0,0.0,97.0,0.0,84.66666666666667,no,Self-study,3–4 hours,Intermediate,0.0,Business,1,INTJ,Kalay(LCEC-K12 Faithprep Academy),Thailand,,External,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
